id,name,dob,bio,image,created_at,updated_at
4027,Frank Darabont,1959-01-28,"Frank Darabont (born January 28, 1959) is a Hungarian-American film director, screenwriter and producer who has been nominated for three Academy Awards and a Golden Globe. He was born in France by Hungarian parents who fled Budapest during the 1956 uprising, but the family moved to Los Angeles while he was still an infant. He has directed the films The Shawshank Redemption, The Green Mile, and The Mist, all based on stories by Stephen King. In 2010 he developed and executive produced the first season of the AMC network television series The Walking Dead. Description above from the Wikipedia article Frank Darabont, licensed under CC-BY-SA, full list of contributors on Wikipedia.",https://image.tmdb.org/t/p/w500/6U1eHg30snkOhSM9WJT2asAesR9.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
1776,Francis Ford Coppola,1939-04-07,"Francis Ford Coppola (born April 7, 1939) is an American film director, producer and screenwriter. He is widely acclaimed as one of Hollywood's most celebrated and influential film directors. He epitomized the group of filmmakers known as the New Hollywood, which included George Lucas, Martin Scorsese, Robert Altman, Woody Allen and William Friedkin, who emerged in the early 1970s with unconventional ideas that challenged contemporary filmmaking.

He co-authored the script for Patton, winning the Academy Award in 1970. His directorial fame escalated with the release of The Godfather in 1972. The film revolutionized movie-making in the gangster genre, garnering universal laurels from critics and public alike. It went on to win three Academy Awards, including his second, which he won for Best Adapted Screenplay, and it was instrumental in cementing his position as one of the prominent American film directors. Coppola followed it with an equally successful sequel The Godfather Part II, which became the first ever sequel to win the Academy Award for Best Picture. The film received yet higher praises than its predecessor, and gave him three Academy Awards—for Best Adapted Screenplay, Best Director and Best Picture. In the same year was released The Conversation, which he directed, produced and wrote. The film went on to win the Palme d'Or at the 1974 Cannes Film Festival. His next directorial venture was Apocalypse Now in 1979, and it was as notorious for its lengthy and troubled production as it was critically acclaimed for its vivid and stark depiction of the Vietnam War. It won his second Palme d'Or at the 1979 Cannes Film Festival.

Although some of Coppola's ventures in the 1980s and early 1990s were critically lauded, Coppola's later work has not met the same level of critical and commercial success as his '70s films. Description above from the Wikipedia article Francis Ford Coppola, licensed under CC-BY-SA, full list of contributors on Wikipedia",https://image.tmdb.org/t/p/w500/mGKkVp3l9cipPt10AqoQnwaPrfI.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
525,Christopher Nolan,1970-07-30,"Christopher Edward Nolan, CBE (born 30 July 1970) is a British-American film director, screenwriter, and producer. He was born in Westminster, London, England and holds both British and American citizenship due to his American mother. He is known for writing and directing critically acclaimed films such as Memento (2000), The Prestige (2006), The Dark Knight Trilogy (2005-12), Inception (2010), Interstellar (2014) and Dunkirk (2017). Nolan is the founder of the production company Syncopy Films. He often collaborates with his wife, producer Emma Thomas, and his brother, screenwriter Jonathan Nolan.",https://image.tmdb.org/t/p/w500/iG0Gs0i5yd6SG4tSFjlXi5ZnSX6.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
39996,Sidney Lumet,1924-06-25,"Sidney Lumet (June 25, 1924 – April 9, 2011) was an American director, producer and screenwriter with over 50 films to his name. He was nominated for the Academy Award as Best Director for 12 Angry Men (1957), Dog Day Afternoon (1975), Network (1976) and The Verdict (1982). He did not win an individual Academy Award, although he did receive an Academy Honorary Award and 14 of his films were nominated for various Oscars, such as Network, which was nominated for 10, winning 4.

The Encyclopedia of Hollywood states that Lumet was one of the most prolific directors of the modern era, making more than one movie per year on average since his directorial debut in 1957. He was noted by Turner Classic Movies for his ""strong direction of actors"", ""vigorous storytelling"" and the ""social realism"" in his best work. Film critic Roger Ebert described him as having been ""one of the finest craftsmen and warmest humanitarians among all film directors."" Lumet was also known as an ""actor's director,"" having worked with the best of them during his career, probably more than ""any other director.""

Lumet began his career as an Off-Broadway director, then became a highly efficient TV director. His first movie was typical of his best work: a well-acted, tightly written, deeply considered ""problem picture,"" 12 Angry Men (1957). From that point on Lumet divided his energies among other idealistic problem pictures along with literate adaptations of plays and novels, big stylish pictures, New York-based black comedies, and realistic crime dramas, including Serpico and Prince of the City. As a result of directing 12 Angry Men, he was also responsible for leading the first wave of directors who made a successful transition from TV to movies. In 2005, Lumet received an Academy Award for Lifetime Achievement for his ""brilliant services to screenwriters, performers, and the art of the motion picture."" Two years later, he concluded his career with the acclaimed drama Before the Devil Knows You're Dead (2007).

Description above from the Wikipedia article Sidney Lumet, licensed under CC-BY-SA, full list of contributors on Wikipedia.​",https://image.tmdb.org/t/p/w500/boygOB4WxxfvucKirmTK6KNiGRM.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
488,Steven Spielberg,1946-12-18,"Steven Allan Spielberg KBE (born December 18, 1946) is an American film director, producer, and screenwriter. He is considered one of the founding pioneers of the New Hollywood era and one of the most popular directors and producers in film history. Spielberg started in Hollywood directing television and several minor theatrical releases. He became a household name as the director of Jaws (1975), which was critically and commercially successful and is considered the first summer blockbuster. His subsequent releases focused typically on science fiction/adventure films such as Close Encounters of the Third Kind (1977), Raiders of the Lost Ark (1981), E.T. the Extra-Terrestrial (1982), and Jurassic Park (1993), which became archetypes of modern Hollywood escapist filmmaking.

Spielberg transitioned into addressing serious issues in his later work with The Color Purple (1985), Empire of the Sun (1987), Schindler's List (1993), Amistad (1997), and Saving Private Ryan (1998). He has largely adhered to this practice during the 21st century, with Munich (2005), Lincoln (2012), Bridge of Spies (2015), and The Post (2017).

He co-founded Amblin Entertainment and DreamWorks Pictures, where he has also served as a producer or executive producer for several successful film trilogies, tetralogies and more including the Gremlins, Back to the Future, Men in Black, and the Transformers series. He later transitioned into producing several video games.

Spielberg is one of the American film industry's most critically successful filmmakers, with praise for his directing talent and versatility, and he has won the Academy Award for Best Director twice. Some of his films are also among the highest-grossing films, while his total work makes him the highest-grossing film director in history.

Description above from the Wikipedia article Steven Spielberg, licensed under CC-BY-SA, full list of contributors on Wikipedia.",https://image.tmdb.org/t/p/w500/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
108,Peter Jackson,1961-10-31,"Sir Peter Robert Jackson, (born 31 October 1961) is a New Zealand film director, producer, actor, and screenwriter, known for his Lord of the Rings film trilogy, adapted from the novel by J. R. R. Tolkien. He is also known for his 2005 remake of King Kong and as the producer of District 9. He won international attention early in his career with his ""splatstick"" horror comedies, before coming to mainstream prominence with Heavenly Creatures, for which he shared an Academy Award Best Screenplay nomination with his wife, Fran Walsh. Jackson has been awarded three Academy Awards in his career, including the award for Best Director in 2003.

Description above from the Wikipedia article Peter Jackson, licensed under CC-BY-SA, full list of contributors on Wikipedia",https://image.tmdb.org/t/p/w500/4hh7hips4xc6kgpNDQKQH3goRvJ.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
138,Quentin Tarantino,1963-03-27,"Quentin Jerome Tarantino (born March 27, 1963) is an American film director, screenwriter, producer, cinematographer and actor. In the early 1990s he was an independent filmmaker whose films used nonlinear storylines and aestheticization of violence. His films have earned him a variety of Academy Award, Golden Globe, BAFTA and Palme d'Or Awards and he has been nominated for Emmy and Grammy Awards. In 2007, Total Film named him the 12th-greatest director of all time.

Tarantino was born in Knoxville, Tennessee, the son of Connie McHugh Tarantino Zastoupil, a health care executive and nurse born in Knoxville, and Tony Tarantino, an actor and amateur musician born in Queens, New York.

Tarantino's mother allowed him to quit school at age 17, to attend an acting class full time. Tarantino gave up acting while attending the acting school, saying that he admired directors more than actors. Tarantino also worked in a video rental store before becoming a filmmaker, paid close attention to the types of films people liked to rent, and has cited that experience as inspiration for his directorial career.

Tarantino has been romantically linked with numerous entertainers, including actress Mira Sorvino, directors Allison Anders and Sofia Coppola, actresses Julie Dreyfus and Shar Jackson and comedians Kathy Griffin and Margaret Cho. He has never married and has no children.

Description above from the Wikipedia article Quentin Tarantino, licensed under CC-BY-SA, full list of contributors on Wikipedia.",https://image.tmdb.org/t/p/w500/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
4385,Sergio Leone,1929-01-03,"Sergio Leone (January 3, 1929 – April 30, 1989) was an Italian film director, producer and screenwriter most associated with the ""Spaghetti Western"" genre. Leone's film-making style includes juxtaposing extreme close-up shots with lengthy long shots. His movies include The Colossus of Rhodes, the Dollars Trilogy (A Fistful of Dollars; For a Few Dollars More; and The Good, the Bad and the Ugly), Once Upon a Time in the West; Duck, You Sucker!; and Once Upon a Time in America.

Description above from the Wikipedia article Sergio Leone,  licensed under CC-BY-SA, full list of contributors on Wikipedia.",https://image.tmdb.org/t/p/w500/rwNuspKZpJnuypQQJsPoAAfLbPh.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
7467,David Fincher,1962-08-28,"David Andrew Leo Fincher (born August 28, 1962) is an American film director and music video director. Known for his dark and stylish thrillers, such as Seven (1995), The Game (1997), Fight Club (1999), Panic Room (2002), and Zodiac (2007), Fincher received Academy Award nominations for Best Director for his 2008 film The Curious Case of Benjamin Button and his 2010 film The Social Network, which also won him the Golden Globe and the BAFTA for best director.",https://image.tmdb.org/t/p/w500/wdBeQXDNbbjkIKXHeEZtQShwSDM.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
24,Robert Zemeckis,1952-05-14,"Robert Lee Zemeckis is an American film director, producer and screenwriter. Zemeckis first came to public attention in the 1980s as the director of the comedic time-travel Back to the Future film series, as well as the Academy Award-winning live-action/animation epic Who Framed Roger Rabbit (1988), though in the 1990s he diversified into more dramatic fare, including 1994's Forrest Gump, for which he won an Academy Award for Best Director.

His films are characterized by an interest in state-of-the-art special effects, including the early use of match moving in Back to the Future Part II (1989) and the pioneering performance capture techniques seen in The Polar Express (2004), Beowulf (2007) and A Christmas Carol (2009). Though Zemeckis has often been pigeonholed as a director interested only in effects, his work has been defended by several critics, including David Thomson, who wrote that ""No other contemporary director has used special effects to more dramatic and narrative purpose.""",https://image.tmdb.org/t/p/w500/lPYDQ5LYNJ12rJZENtyASmVZ1Ql.jpg,2015-08-12 17:20:11,2015-08-12 17:20:11
